"Region","Year","VerySatisfied","SlightlySatisfied","SatisfiedRate","Neutral","SlightlyDissatisfied","VeryDissatisfied","DissatisfiedRate","SatisfactionScore","SuicideRate_Total","SuicideRate_Male","SuicideRate_Female"
"전라남도","2024","10.3","29.9","40.2","45.4","12.6","1.8","14.4","3.343","34.5","53.6","15.1"
"경상북도","2020","9.7","24.7","34.4","52.5","11.4","1.7","13.1","3.293","28.6","37.8","19.3"
"경상북도","2021","7.7","19.8","27.5","46.9","20.8","4.8","25.6","3.048","29","40.8","17.1"
"경상북도","2022","11.5","32.3","43.8","42.4","11.8","2","13.8","3.395","26.8","38.8","14.7"
"경상북도","2023","10.2","27.9","38.1","47.1","12","2.7","14.7","3.306","30.5","44.2","16.6"
"경상북도","2024","9.2","31.7","40.9","46.2","10.7","2.2","12.9","3.35","31.6","46.6","16.3"
"경상남도","2020","14.6","31.3","45.9","43","9.3","1.8","11.1","3.476","25.3","36.3","14.3"
"경상남도","2021","8.2","24.1","32.3","45.4","18","4.2","22.2","3.138","26.3","37.6","14.9"
"경상남도","2022","10.1","32.8","42.9","43.1","12.1","1.9","14","3.371","26.7","39.7","13.6"
"경상남도","2023","10.7","33.7","44.4","43.6","9.7","2.4","12.1","3.409","28.5","39.3","17.6"
"경상남도","2024","10.4","32.5","42.9","45.2","10.3","1.5","11.8","3.397","28.5","40.8","16"
"제주특별자치도","2020","15.3","32.6","47.9","41.5","8.8","1.8","10.6","3.508","30","42.6","17.2"
"제주특별자치도","2021","13.7","24.8","38.5","41.7","15.8","4","19.8","3.284","26.1","41","11.1"
"제주특별자치도","2022","14.5","33.7","48.2","40.7","9.4","1.8","11.2","3.5","26","41.8","10.1"
"제주특별자치도","2023","13.1","31.6","44.7","42.9","9","3.3","12.3","3.419","30.5","45.4","15.5"
"제주특별자치도","2024","12.8","30.6","43.4","46.4","8.4","1.8","10.2","3.442","36.3","55.3","17.3"
